ID,Sequence,SAFRING_No,avibase_id,ADU_No,Odr,Family,Genus,Species,Common_family,Common_group,Common_species,Split status,UO comment,BL comment,,
2579,196,0,,0,,,Unknown,Unknown,,Unknown,Unknown,,,,,
2290,2,1,avibase-2247CB05,1,Struthioniformes,Struthionidae,Struthio,camelus,Ostriches,Ostrich,Common,,,,,
2234,1041,2,avibase-9B183BDD,3,Ciconiiformes,Spheniscidae,Spheniscus,demersus,Penguins,Penguin,African,,,,,
1008,1033,3,avibase-4023CC81,4,Ciconiiformes,Spheniscidae,Eudyptes,chrysocome,Penguins,Penguin,Southern Rockhopper,split,"Retire, Change to Western Rock Hopper Penguin #14916 should  and to #14917  Eudyptes filholi Eastern Rock Hopper Penguin",,,
1966,944,4,avibase-8F269702,6,Ciconiiformes,Podicipedidae,Podiceps,cristatus,Grebes,Grebe,Great Crested,,,,,
1968,946,5,avibase-32DCEC14,7,Ciconiiformes,Podicipedidae,Podiceps,nigricollis,Grebes,Grebe,Black-necked,,,,,
2334,948,6,avibase-71682A47,8,Ciconiiformes,Podicipedidae,Tachybaptus,ruficollis,Grebes,Grebe,Little,,,,,
2382,1120,8,avibase-F9CBC9EB,12,Ciconiiformes,Diomedeidae,Thalassarche,melanophris,Albatrosses,Albatross,Black-browed,,,,,
2380,1118,9,avibase-0E4475F6,13,Ciconiiformes,Diomedeidae,Thalassarche,chrysostoma,Albatrosses,Albatross,Grey-headed,,,,,
1814,1085,12,avibase-4976BF1D,15,Ciconiiformes,Diomedeidae,Phoebetria,fusca,Albatrosses,Albatross,Sooty,,,,,
1429,1065,13,avibase-C1706A8B,17,Ciconiiformes,Procellariidae,Macronectes,giganteus,"Petrels, Shearwaters",Giant Petrel,Southern,,,,,
884,1051,14,avibase-AAC2D613,21,Ciconiiformes,Procellariidae,Daption,capense,"Petrels, Shearwaters",Petrel,Cape,,,,,
1102,1060,15,avibase-10C2881A,19,Ciconiiformes,Procellariidae,Fulmarus,glacialoides,"Petrels, Shearwaters",Fulmar,Southern,,,,,
2095,1098,16,avibase-508E7E59,23,Ciconiiformes,Procellariidae,Pterodroma,macroptera,"Petrels, Shearwaters",Petrel,Great-winged,,,,,
2092,1095,18,avibase-23865D25,26,Ciconiiformes,Procellariidae,Pterodroma,incerta,"Petrels, Shearwaters",Petrel,Atlantic,,,,,
2097,1100,19,avibase-12286A1E,24,Ciconiiformes,Procellariidae,Pterodroma,mollis,"Petrels, Shearwaters",Petrel,Soft-plumaged,,,,,
1183,1062,20,avibase-68D6A13A,28,Ciconiiformes,Procellariidae,Halobaena,caerulea,"Petrels, Shearwaters",Petrel,Blue,,,,,
1745,1079,21,avibase-93860B9B,29,Ciconiiformes,Procellariidae,Pachyptila,vittata,"Petrels, Shearwaters",Prion,Broad-billed,,,,,
1742,1072,22,avibase-105C306C,892,Ciconiiformes,Procellariidae,Pachyptila,desolata,"Petrels, Shearwaters",Prion,Antarctic,,,,,
2024,1088,24,avibase-843C1B86,33,Ciconiiformes,Procellariidae,Procellaria,cinerea,"Petrels, Shearwaters",Petrel,Grey,,,,,
236,1105,25,avibase-8B879DFA,35,Ciconiiformes,Procellariidae,Ardenna,gravis,,Shearwater,Great,,,,,
424,1048,26,avibase-710BB4E6,34,Ciconiiformes,Procellariidae,Calonectris,borealis,"Petrels, Shearwaters",Shearwater,Cory's,,retire and replace by 10702,not in use,,
2110,1101,27,avibase-0205EDC6,39,Ciconiiformes,Procellariidae,Puffinus,assimilis,"Petrels, Shearwaters",Shearwater,Little,,,,,
2111,1107,28,avibase-6DA05B66,40,Ciconiiformes,Procellariidae,Puffinus,bailloni,"Petrels, Shearwaters",Shearwater,Tropical,,,,,
237,1106,29,avibase-1725B07D,37,Ciconiiformes,Procellariidae,Ardenna,grisea,,Shearwater,Sooty,,,,,
1219,1063,30,avibase-E1638A37,42,Ciconiiformes,Hydrobatidae,Hydrobates,pelagicus,Northern Storm Petrels,Storm Petrel,European,,I think we shall keep Storm Petrel in Common_group. Therefore I moved Diving below. This is more logic,,,
1666,1069,31,avibase-C5FB15C6,43,Ciconiiformes,Hydrobatidae,Oceanodroma,leucorhoa,,Storm Petrel,Leach's,,,,,
1011,1036,32,avibase-5EA37AA8,0,Ciconiiformes,Spheniscidae,Eudyptes,robustus,Penguins,Penguin,Snares,,,,,
1664,1067,33,avibase-D295D249,44,Ciconiiformes,Hydrobatidae,Oceanites,oceanicus,Austral Storm Petrels,Storm Petrel,Wilson's,,,,,
1777,1081,34,avibase-E9DF118E,0,Ciconiiformes,Hydrobatidae,Pelagodroma,marina,Austral Storm Petrels,Storm Petrel,White-faced,,,,,
