old_avilist_id,new_avilist_ids
avibase-D5813CA4,avibase-35D60F12;avibase-9D29C252
avibase-BD2BC35C,avibase-4B2A7A35
avibase-71A552DA,avibase-215428B0
avibase-BEDA5DA6,avibase-215428B0
avibase-62ED1974,avibase-7E3578A2
avibase-AB8E1D95,avibase-7E3578A2
avibase-865C039E,avibase-AC1E791E
avibase-66DA1FB3,avibase-828D3D5A
avibase-F9305BAA,avibase-082F3A63
avibase-00DA9D91,
avibase-42720061,avibase-2D52E3A5
avibase-4592C07E,avibase-2D52E3A5
avibase-943CDEAC,avibase-17310BF0
avibase-4B21F4D8,avibase-17310BF0
avibase-F76E7B80,avibase-5157C558
avibase-36DF115B,avibase-7085B8A0
avibase-7C15B36B,avibase-F2858F9F
avibase-67200E8E,
avibase-5EC21767,avibase-05520B42
avibase-C1C255AA,avibase-06D9A2C8
avibase-EE9C6A5E,avibase-06D9A2C8
avibase-A691B378,avibase-06D9A2C8
avibase-02AD152F,avibase-3C0C325D
avibase-FEE35F4C,avibase-CFD6F275
avibase-38E24616,avibase-0018A99B;avibase-DC8CC91D
avibase-F4D0DB8E,avibase-FA2F9125
avibase-66F40AD0,avibase-FA2F9125
avibase-E4573453,avibase-FA2F9125
avibase-8CC7216A,
avibase-E9ED7248,avibase-50F3668C
avibase-0AC6CF82,avibase-50F3668C
avibase-E6D52EF7,avibase-1953C1D6
avibase-55E9B668,avibase-1953C1D6
avibase-EEA161A8,
avibase-6B28B3A1,avibase-7749C92B
avibase-35C11126,avibase-7749C92B
avibase-A4CF3B9E,avibase-E01F4BD7
avibase-408639E6,avibase-BCA0F974
avibase-B91DD3C8,avibase-BCA0F974
avibase-75DF194C,avibase-80BC978E
avibase-A76838A0,avibase-2DAB45B8
avibase-2BD7F8B5,avibase-2DAB45B8
avibase-B46C6125,avibase-47E58408
avibase-A113792C,avibase-47E58408
avibase-4396F4F1,
avibase-E1EE00F7,
avibase-7B0E2F01,
avibase-FBB58997,avibase-EBC3B53B;avibase-07F940AA
avibase-7763FEC8,avibase-11FE7313
avibase-DB2501EE,
avibase-71EF2ACB,avibase-35A2CCDF
avibase-00D5E1C6,avibase-718A3B70;avibase-375BAF53
avibase-C6D0CB7E,avibase-688582BF
avibase-8C0F6D53,avibase-CC7862AF
avibase-83340007,avibase-CC7862AF
avibase-4167B45D,avibase-F5E0EA0D
avibase-4ED105CA,avibase-F5E0EA0D
avibase-21C4CE6A,avibase-E358EC8A
avibase-A02BCF5E,avibase-E358EC8A
avibase-A61F55E3,avibase-126E0CFA;avibase-DBAB527C
avibase-2F9F81C9,avibase-E10D0809
avibase-F46C1803,avibase-F840409E
avibase-EE4207D4,avibase-F44BD4BE
avibase-6E9DA935,avibase-F44BD4BE
avibase-6B089785,avibase-5BFC242D
avibase-6A0D6123,avibase-EB9CE6A2
avibase-BAA83B0C,avibase-5F213A7D;avibase-D167A312
avibase-0C8B9FA4,avibase-7542C6F1
avibase-406E1A4D,avibase-7542C6F1
avibase-CA02C9A1,avibase-E70F9747
avibase-8C13DA6F,avibase-E70F9747
avibase-2C8B24B6,avibase-AB6AE581
avibase-9AEEFA09,avibase-52B4F230
avibase-34E27C2A,avibase-3F0EE474
avibase-F72A871F,avibase-91315CD4;avibase-B4967714
avibase-94F9F616,avibase-91315CD4
avibase-47DA0258,avibase-A85102D3
avibase-C73137EA,avibase-04E77EEF
avibase-54A902B5,avibase-1EEE86B8;avibase-FC523946
avibase-4996833A,avibase-9A80B57C
avibase-3029C547,avibase-24F71192
avibase-CF1DDF4E,avibase-24F71192
avibase-ADC1F0C9,avibase-6ABDB635
avibase-B2F86107,avibase-6ABDB635
avibase-EAC8528E,avibase-86F34425
avibase-BF3D3E26,avibase-52C60399
avibase-42C9B9B1,avibase-7350FE4C
avibase-BE76A224,avibase-7350FE4C
avibase-060AF4FA,avibase-FA03A965
avibase-CAC5AD6C,avibase-FA03A965
avibase-26618AA1,avibase-6A1F6033;avibase-26618AA1
avibase-D029B521,avibase-DCA0028B
avibase-6DA05B66,avibase-198120BB
avibase-BE3C45B5,avibase-ECE36984;avibase-4D19099B
