sort,family_scientific,family_english,common_name,scientific_name,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,water_bird,strict_water_bird,sort_1996,sort_2009,avibaseid,entry_checklist_of_kenya,note_2009,note_2019
1,Struthionidae,Ostriches,Common Ostrich,Struthio camelus (race camelus),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,avibase-2247CB05,Common Ostrich Struthio camelus massaicus,"In the 1996 list, Struthio (camelus) molybdophanes, English name the Somali Ostrich, was treated as a separate species (Freitag & Robinson 1993), necessitating the qualifier ‘Common’ for the species containing the other two races (nominate camelus and massaicus); with the lumping in the present list no qualifier is required","(nominate race camelus Ex?) (Freitag & Robinson, 1983; Miller et al., 2011)"
2,Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,avibase-40329BB6,Somali Ostrich Struthio molybdophanes,,
3,Anatidae,Ducks and Geese,White-faced Whistling Duck,Dendrocygna viduata,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,71,22,avibase-A534AFEA,White-faced Whistling Duck Dendrocygna viduata,"In the 1996 list, Struthio (camelus) molybdophanes, English name the Somali Ostrich, was treated as a separate species (Freitag & Robinson 1993), necessitating the qualifier ‘Common’ for the species containing the other two races (nominate camelus and massaicus); with the lumping in the present list no qualifier is required",
4,Anatidae,Ducks and Geese,Fulvous Whistling Duck,Dendrocygna bicolor,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,70,23,avibase-9A60617E,Fulvous Whistling Duck Dendrocygna bicolor N,,
5,Anatidae,Ducks and Geese,White-backed Duck,Thalassornis leuconotus,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,72,24,avibase-2EEDACD5,White-backed Duck Thalassornis leuconotus,,
6,Anatidae,Ducks and Geese,Maccoa Duck,Oxyura maccoa,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,94,45,avibase-1C2F4E80,Maccoa Duck Oxyura maccoa,,
7,Anatidae,Ducks and Geese,Egyptian Goose,Alopochen aegyptiaca,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,74,27,avibase-DA2F24E3,Egyptian Goose Alopochen aegyptiaca,Was Alopochen aegyptiacus in the 1996 list; gender change follows David & Gosselin (2002b),
8,Anatidae,Ducks and Geese,Spur-winged Goose,Plectropterus gambensis,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,73,25,avibase-EB01B24C,Spur-winged Goose Plectropterus gambensis,,
9,Anatidae,Ducks and Geese,Knob-billed Duck,Sarkidiornis melanotos,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,76,26,avibase-3948131B,Knob-billed Duck Sarkidiornis melanotos am,,
10,Anatidae,Ducks and Geese,African Pygmy Goose,Nettapus auritus,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,77,28,avibase-EC7C1618,African Pygmy Goose Nettapus auritus,,
